Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.8982408	0.045129662	199998.14	-0.019148659	-0.11252107	0.11413878	99.657982
0.89822555	0.045119553	178249.33	-0.0058889207	-0.10375942	0.10392641	93.248367
0.89820832	0.045112541	158857.27	-0.0030490502	-0.091640979	0.091691688	91.905624
0.89818019	0.045105885	141580.69	-0.00032127011	-0.083333991	0.08333461	90.220886
0.89820337	0.04510154	126178.37	0.006171722	-0.082078733	0.082310438	85.699867
0.89817649	0.045093555	112455.46	0.0055600433	-0.06476175	0.06499999	85.092972
0.89818978	0.045094208	100226.4	0.011148527	-0.059716534	0.060748283	79.42514
0.89819545	0.045094543	89324.156	0.012220972	-0.056410957	0.057719566	77.776237
0.89818072	0.045089771	79609.563	0.012279387	-0.047626849	0.049184348	75.54258
0.89819568	0.045090591	70952.719	0.012285839	-0.040169306	0.042006131	72.993675
0.89819866	0.04508466	6,32E+04	0.016863832	-0.034687899	0.038569927	64.072884
0.89819831	0.045086918	56357.633	0.015414127	-0.031900227	0.035429083	64.210258
0.89818758	0.045088783	50224.539	-0.0017156722	-0.024004882	0.024066115	94.088081
0.89820999	0.045089085	44759.504	0.016169351	-0.023654675	0.028652951	55.645115
0.89826977	0.0450844	39888.289	0.012548401	-0.022659795	0.025902292	61.023464
0.89828914	0.045085819	35555.2229999999	0.0141486	-0.013279445	0.019404292	43.184986
0.89828801	0.045086285	31686.088	0.017500171	-0.013257788	0.021955067	37.146858
0.89824456	0.045085579	28243.766	0.01680289	-0.012897033	0.021181846	37.507988
0.89820659	0.045083042	25172.58	0.014106256	-0.013428698	0.019476047	43.590397
0.89818311	0.045085949	22435.422	0.017733695	-0.0073085171	0.019180676	22.397835
0.89814794	0.045078991	19995.176	0.015647566	-0.0049828836	0.016421799	17.663797
0.89819568	0.045086342	17833.281	0.017992919	-0.0059665781	0.018956402	18.345882
0.89817709	0.045083916	15875.521	0.017061941	-0.005148652	0.017821854	16.791838
0.89816505	0.0450844	14149.722	0.018713722	-0.0026346715	0.018898277	8.0138988
0.89815634	0.045081993	12609.483	0.016252581	-0.0026892852	0.016473575	9.3954973
0.89813805	0.045081379	11236.27	0.016321603	-0.003771903	0.016751776	13.012544
0.89815551	0.045083637	10020.782	0.015310864	-0.0051820897	0.016164053	18.698818
0.89815855	0.045083954	8926.084	0.014593942	-0.0024336395	0.014795464	9.4673481
0.89815819	0.045085316	7959.7627	0.012753033	0.00017622762	0.01275425	-0.79169065
0.89810699	0.045082088	7094.7432	0.013621116	0.0019600505	0.013761417	-8.1885347
0.8980608	0.045087067	6317.6675	0.018046388	-0.00076722575	0.01806269	2.4344118
0.89809746	0.045090984	5634.436	0.016675694	0.0014033819	0.016734643	-4.8105245
0.89809519	0.045084343	5021.6064	0.015602513	0.00040254238	0.015607705	-1.4778942
0.89806312	0.045083508	4476.4321	0.020278342	0.0015763802	0.020339521	-4.4450703
0.89802015	0.045085297	3986.2754	0.018794443	0.0031684453	0.019059647	-9.5691833
0.89800638	0.045088074	3551.5906	0.016201762	0.0032151032	0.016517688	-11.22405
0.89796388	0.045086956	3166.0132	0.020770557	0.0050813491	0.021383081	-13.746945
0.89795327	0.045081772	2822.2908	0.015617048	0.0050375443	0.016409419	-17.877989
0.89790928	0.045083691	2515.8052	0.019319	0.002081336	0.019430792	-6.1490541
0.89791209	0.045083729	2240.7168	0.020914743	0.0026984413	0.021088103	-7.3517451
0.89787823	0.045083523	1998.0815	0.018843153	0.0083892429	0.02062629	-23.999315
0.89788884	0.045087086	1780.5698	0.020208547	0.0028108382	0.020403093	-7.9185543
0.89789927	0.045084343	1587.5402	0.020571247	0.0062854844	0.02151008	-16.990379
0.8979131	0.045083225	1413.6429	0.020612342	0.0038666269	0.020971874	-10.624522
0.8979044	0.045080856	1260.4036	0.017891228	0.0082993777	0.019722467	-24.88563
0.89790571	0.045079182	1123.921	0.020855367	0.0027206405	0.021032076	-7.4324217
0.89792621	0.045081676	1001.6025	0.019166457	0.0040309401	0.019585749	-11.876911
0.89794225	0.045083748	892.57068	0.020104358	0.0061774123	0.021032015	-17.080482
0.89798039	0.045081753	795.2547	0.020388421	0.0070440131	0.021570949	-19.059563
0.89796329	0.045083263	708.41333	0.021608926	0.0041755466	0.022008656	-10.936615
