Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg
0.86688781	0.045373085	199998.14	-0.016574083	-0.1129194	0.11412928	98.350136
0.86690009	0.045364876	178249.33	-0.0077002654	-0.10256983	0.10285847	94.293335
0.86685866	0.045352776	158857.27	-0.0025068687	-0.091194414	0.091228865	91.574623
0.86688167	0.045346695	141580.69	0.0023409599	-0.083551824	0.083584614	88.395103
0.86687952	0.045346508	126178.37	0.13041718	-0.09339457	0.16040944	35.607273
0.86683315	0.045335655	112455.46	0.00953585	-0.066410631	0.067091763	81.828796
0.86684936	0.045333229	100226.4	0.011211578	-0.060113229	0.061149813	79.43528
0.86681396	0.04533073	89324.156	0.011754175	-0.053683199	0.05495495	77.649734
0.86682397	0.045329372	79609.563	0.013720671	-0.047744408	0.049676809	73.966537
0.86684394	0.045333046	70952.719	0.0132989	-0.043632966	0.045614652	73.049294
0.866781	0.045332691	6,32E+04	0.014702991	-0.039280746	0.04194228	69.478859
0.8667869	0.045334663	56357.633	0.014301403	-0.033101834	0.036059141	66.633598
0.86678553	0.045326553	50224.539	0.018415097	-0.045172036	0.048781436	67.820953
0.86674291	0.045330452	44759.504	0.016226768	-0.024013916	0.028982343	55.952179
0.86679298	0.045324261	39888.289	0.016729372	-0.019354975	0.025582941	49.161674
0.86674446	0.045328026	35555.2229999999	0.017699344	-0.014975448	0.023184711	40.234623
0.86670774	0.045325756	31686.088	0.016213926	-0.011800951	0.020053774	36.04818
0.86673743	0.045323532	28243.766	0.059739083	0.0099619403	0.060564	-9.4673862
0.86666143	0.045329353	25172.58	0.018215399	-0.0075572971	0.01972089	22.532833
0.86667311	0.045322788	22435.422	0.016856942	-0.0069994815	0.018252376	22.549614
0.86659473	0.045328491	19995.176	0.01653515	-0.0061879386	0.017655078	20.517324
0.86662596	0.045327785	17833.281	0.017826246	-0.0030782877	0.018090077	9.7973795
0.86664832	0.045330284	15875.521	0.015274804	-0.0022384925	0.015437956	8.3372374
0.86658216	0.045331142	14149.722	0.018430909	-0.0060242834	0.019390471	18.100376
0.86658031	0.045326927	12609.483	0.019991415	-0.0022462774	0.020117218	6.4109845
0.86657763	0.045330078	11236.27	0.017774854	-0.0016208536	0.017848602	5.2102785
0.86660033	0.045329205	10020.782	0.016116465	-0.0032712219	0.0164451	11.473678
0.86662227	0.045323849	8926.084	0.015021041	-0.00080394174	0.01504254	3.0636067
0.86653042	0.045325848	7959.7627	0.017441535	0.0021130466	0.017569067	-6.9077339
0.86653745	0.045321239	7094.7432	0.017925128	0.0019254705	0.018028246	-6.1310544
0.86653465	0.045333397	6317.6675	0.024630768	0.003675312	0.024903467	-8.486846
0.86652446	0.045335171	5634.436	0.016726729	0.0029017525	0.016976561	-9.8417206
0.86648601	0.045327488	5021.6064	0.019322341	0.0051736408	0.020002985	-14.989584
0.86651236	0.045328941	4476.4321	0.018413123	0.0013112671	0.018459754	-4.0733695
0.86643755	0.045329464	3986.2754	0.020070266	0.0040223273	0.02046936	-11.332643
0.86646575	0.04532465	3551.5906	0.016798425	0.0024521374	0.016976457	-8.3050499
0.86637855	0.045329391	3166.0132	0.021524569	0.0052038552	0.022144688	-13.591233
0.86638165	0.045332317	2822.2908	0.019446721	0.0055025942	0.020210233	-15.799255
0.86639357	0.045332058	2515.8052	0.023714453	0.004504581	0.024138486	-10.75525
0.8663376	0.045328773	2240.7168	0.01949559	0.0053857937	0.020225845	-15.443188
0.8663047	0.045332169	1998.0815	0.022986855	0.0045154593	0.023426158	-11.113482
0.86628503	0.045331757	1780.5698	0.023929901	0.0022246689	0.024033088	-5.3112974
0.86630523	0.045324615	1587.5402	0.02032922	0.0068176766	0.021441966	-18.539568
0.86626405	0.045328808	1413.6429	0.023178026	0.0038168025	0.023490187	-9.3511629
0.86625183	0.04533036	1260.4036	0.024632111	0.011602377	0.027227854	-25.221678
0.86619294	0.045322769	1123.921	0.022337748	0.0062165624	0.023186648	-15.551806
0.86617863	0.045334515	1001.6025	0.024433596	0.007472754	0.025550786	-17.005692
0.8661595	0.045331924	892.57068	0.024642203	0.010072194	0.026621182	-22.231678
0.86613989	0.045329891	795.2547	0.023524422	0.011377844	0.026131472	-25.811239
0.86612469	0.045330601	708.41333	0.026085099	0.0081401486	0.02732571	-17.33112
0.86606038	0.045331234	631.81964	0.023638772	0.004070201	0.023986623	-9.7695799
0.86607176	0.04533271	563.01819	0.026298523	0.010971524	0.028495379	-22.645489
0.86605221	0.045326797	502.08871	0.069226377	0.0063742688	0.069519222	-5.2608814
0.86598855	0.04533215	447.43402	0.025885852	0.012321712	0.028668832	-25.454531
0.86598152	0.045329445	398.59692	0.023043951	0.01552201	0.027784104	-33.963531
0.86598313	0.04532275	355.11365	0.028802371	0.013243623	0.031701263	-24.693453
0.8660028	0.045328621	316.72299	0.028887885	0.012663577	0.031541657	-23.671194
0.86586535	0.045326443	282.25809	0.027239695	0.015168381	0.03117821	-29.111177
0.86586726	0.045331551	251.36742	0.032049343	0.015934145	0.035791863	-26.435434
0.86584854	0.045327728	224.21082	0.027226526	0.019044407	0.033226091	-34.972015
0.86587006	0.045327354	199.80815	0.032584712	0.018299207	0.037371438	-29.318075
0.86581647	0.0453251	178.00633	0.032716583	0.021272551	0.039024305	-33.032204
0.86578155	0.045330193	158.62947	0.034878448	0.021447115	0.0409449	-31.587784
0.86576909	0.045328773	141.31134	0.034968752	0.022883579	0.041790809	-33.200768
0.86574978	0.045329109	126.00809	0.033777244	0.023775531	0.041305907	-35.141407
0.86572039	0.045329891	112.33657	0.033907682	0.030370412	0.045520246	-41.850151
0.86571103	0.045323795	100.03201	0.036809042	0.028392358	0.046486896	-37.644508
0.86570573	0.045327114	89.229065	0.036576562	0.028676204	0.046477623	-38.096622
0.86568582	0.04532954	79.516533	0.035424449	0.034074567	0.049152493	-43.887283
0.86560273	0.045330975	70.838745	0.038125377	0.035884995	0.052357208	-43.266117
0.86567408	0.045329876	63.160755	0.039053343	0.042776085	0.057921991	-47.604813
0.86553144	0.045327709	56.241817	0.042465448	0.044677127	0.061638948	-46.453854
0.86551976	0.045326649	50.144413	0.045047205	0.047647152	0.065570585	-46.606644
0.8655054	0.045326759	44.728058	0.045323785	0.052038174	0.06900882	-48.945053
0.86544031	0.045328568	39.859692	0.044235144	0.05720789	0.072315216	-52.287548
0.86543089	0.045328587	35.511364	0.051103551	0.064726092	0.08246842	-51.707653
0.86541986	0.045324913	31.629551	0.048224486	0.06781704	0.083215095	-54.583485
0.86540604	0.045324558	28.203972	0.052403398	0.073197439	0.090022117	-54.400425
0.86538601	0.045324501	25.136742	0.054124836	0.083347365	0.09937948	-57.000763
0.86534137	0.045327488	22.385387	0.060443327	0.093354166	0.11121329	-57.078453
0.86537564	0.045325619	19.955299	0.062788524	0.10164236	0.11947203	-58.294727
0.86529982	0.045328354	17.796129	0.066881269	0.10685462	0.12605956	-57.95718
0.8652826	0.04532756	15.857576	0.073278859	0.11886119	0.13963443	-58.34584
0.86528999	0.045326668	14.13601	0.08232677	0.129586	0.15352598	-57.571957
0.86520743	0.045327648	12.600808	0.089269586	0.14234218	0.16801891	-57.906208
0.86518937	0.045331402	11.224856	0.097842112	0.15507528	0.18336146	-57.75082
0.86519974	0.045325211	10.003201	0.10767481	0.167926	0.19948184	-57.331848
0.86514038	0.045329994	8.9183798	0.12191171	0.18248327	0.21945982	-56.25428
0.86512637	0.045322872	7.9395342	0.13270484	0.19911292	0.23928337	-56.317326
0.86511028	0.045315941	7.0765405	0.14733002	0.21600941	0.2614693	-55.703911
0.86511558	0.045310947	6.3105822	0.16726546	0.23020965	0.2845597	-53.998638
0.86508238	0.045314339	5.6286025	0.18267944	0.2489081	0.30875075	-53.72419
0.86507016	0.04532851	5.0144415	0.2037583	0.25569609	0.32695249	-51.449467
0.86506176	0.045324757	4.4693937	0.23447621	0.27031136	0.35783699	-49.060646
0.86505115	0.045322189	3.9859693	0.26513591	0.27988297	0.38552761	-46.549923
0.86498487	0.045320652	3.5511365	0.29911667	0.29074198	0.41713509	-44.186581
0.86499256	0.045318417	3.1655185	0.31952769	0.29572508	0.43537486	-42.784473
0.86494988	0.04532497	2.8183618	0.35389221	0.29612252	0.46144149	-39.921215
0.86490774	0.045322227	2.513674	0.39212561	0.29821467	0.49264032	-37.253281
0.86486351	0.045324238	2.2398219	0.41312066	0.30131823	0.51133293	-36.105927
0.86484903	0.045324783	1.9970604	0.44539297	0.29479021	0.53411251	-33.499199
0.86483502	0.045324963	1.7796129	0.48034534	0.28535089	0.55870992	-30.712584
0.86478537	0.045325851	1.5846854	0.51172292	0.28031161	0.58346802	-28.713049
0.86470795	0.045325439	1.4122382	0.54031312	0.26102844	0.60006177	-25.78546
0.86466348	0.045326015	1.2596743	0.55947351	0.2546111	0.61468482	-24.469831
0.86460662	0.045325809	1.1224856	0.58362919	0.22791861	0.62655401	-21.331617
0.86452234	0.045325516	1.0000638	0.60428029	0.20990558	0.63969916	-19.155416
