Ewe/V	I/A	freq/Hz	Re(Z)/Ohm	#NOM?	|Z|/Ohm	Phase(Z)/deg
0.8730613	0.045366928	199998.14	-0.017820794	-0.10948645	0.11092729	99.244797
0.87306732	0.045364525	178249.33	-0.0057302644	-0.099166386	0.099331811	93.307121
0.87302172	0.045350666	158857.27	-0.0073099709	-0.091578506	0.091869794	94.563782
0.87302011	0.045345333	141580.69	-0.00054498052	-0.083418451	0.083420232	90.374313
0.87303078	0.045343803	126178.37	0.0031773541	-0.061908375	0.061989859	87.061958
0.87301719	0.045336605	112455.46	0.0051358463	-0.068206489	0.068399578	85.69384
0.87299103	0.045335018	100226.4	0.014985917	-0.057990424	0.059895467	75.510582
0.87300736	0.04533271	89324.156	0.011537407	-0.067267932	0.068250172	80.267654
0.8729406	0.045331627	79609.563	0.0094758309	-0.047619361	0.048553012	78.745659
0.87297344	0.045325996	70952.719	0.013334672	-0.042633891	0.044670597	72.631798
0.87294674	0.045326313	6,32E+04	0.010743974	-0.036358554	0.03791276	73.53756
0.8729679	0.045331718	56357.633	0.013317867	-0.030378137	0.033169214	66.327209
0.87293249	0.045325848	50224.539	0.014120013	-0.021677649	0.02587074	56.921276
0.87294924	0.045322956	44759.504	0.01254038	-0.025162578	0.028114347	63.509518
0.8729583	0.045324783	39888.289	0.013463992	-0.023406155	0.027002355	60.091068
0.87290776	0.045321091	35555.2229999999	0.016035244	-0.013448733	0.020928388	39.986507
0.87290436	0.045324112	31686.088	0.012779819	-0.012552329	0.017913256	44.485481
0.87292647	0.045321686	28243.766	0.013889806	-0.0092188772	0.016670765	33.572838
0.87289202	0.045323532	25172.58	0.017572038	-0.0067449086	0.01882207	20.998962
0.87289566	0.045316875	22435.422	0.013049414	-0.0062008379	0.014447754	25.416195
0.87287915	0.045322716	19995.176	0.013683495	-0.0061368193	0.014996619	24.155439
0.87288409	0.045324894	17833.281	0.014091067	-0.002677354	0.014343166	10.758168
0.87283385	0.045327805	15875.521	0.018680528	-0.0016696118	0.018754993	5.1073608
0.8728503	0.045325584	14149.722	0.019135062	-0.0032389073	0.019407244	9.6071424
0.87282276	0.045321892	12609.483	0.018951109	-0.0047770394	0.019543916	14.147909
0.87283534	0.045323273	11236.27	0.016385296	-0.0023722216	0.016556127	8.2378988
0.87279046	0.045323273	10020.782	0.01505824	-0.0063083875	0.016326247	22.730398
0.87283397	0.045319935	8926.084	0.011495652	-0.00087698299	0.011529054	4.3625441
0.87277579	0.045322002	7959.7627	0.01381593	-0.001187882	0.013866902	4.9141574
0.87276566	0.045320141	7094.7432	0.013334922	0.0012751676	0.013395754	-5.4623661
0.87274069	0.045327282	6317.6675	0.012886686	-0.0067623248	0.014553203	27.688368
0.87277883	0.045330303	5634.436	0.015626881	0.0021170299	0.015769631	-7.7150955
0.87276113	0.045317192	5021.6064	0.016767396	0.0030737459	0.017046802	-10.387943
0.87274313	0.045320606	4476.4321	0.014977988	0.0068595242	0.016474016	-24.606533
0.87275016	0.045320812	3986.2754	0.015539093	0.0030448248	0.015834594	-11.086422
0.87273026	0.045324184	3551.5906	0.019275075	0.0024563367	0.019430958	-7.2623949
0.87274849	0.045319805	3166.0132	0.020352833	0.0043646987	0.020815581	-12.103847
0.87275314	0.045318012	2822.2908	0.016353207	0.002780295	0.01658787	-9.6488953
0.87269801	0.045318348	2515.8052	0.017834119	0.0017375668	0.017918564	-5.5647278
0.8727324	0.045322468	2240.7168	0.017714595	0.0018056345	0.017806381	-5.8200126
0.87271619	0.045319546	1998.0815	0.021278135	0.0056706849	0.022020802	-14.922657
0.87270957	0.045322639	1780.5698	0.017207386	0.0091881556	0.019506827	-28.100693
0.87272906	0.045320961	1587.5402	0.016652735	0.0050786152	0.017409937	-16.96023
0.87265986	0.045319714	1413.6429	0.019312218	0.0063795345	0.020338638	-18.280287
0.87269306	0.045316803	1260.4036	0.016978191	0.0046094852	0.017592791	-15.189354
0.87267452	0.045324875	1123.921	0.019340899	0.0041844761	0.019788386	-12.207996
0.87263632	0.045320885	1001.6025	0.01996324	0.0065680621	0.021015955	-18.211611
0.87266403	0.045325417	892.57068	0.018965784	0.0072172196	0.020292591	-20.833769
0.87268567	0.045317734	795.2547	0.017915459	0.0059260027	0.018870113	-18.302973
0.87267882	0.045316505	708.41333	0.023511764	0.0065942518	0.024418993	-15.667006
0.8726477	0.045323311	631.81964	0.022788361	0.0072449883	0.023912324	-17.636759
0.8726517	0.045327282	563.01819	0.022421012	0.0047563636	0.022919964	-11.97709
0.87264699	0.045319149	502.08871	0.026968226	0.0060529131	0.027639156	-12.650173
0.87263346	0.045322449	447.43402	0.02035718	0.011598518	0.023429478	-29.672358
0.87263566	0.045322414	398.59692	0.023025837	0.012548998	0.026223397	-28.590223
0.87262899	0.045323273	355.11365	0.022304125	0.009461754	0.024228057	-22.987406
0.87261695	0.045323814	316.72299	0.023040174	0.0080350963	0.024401072	-19.225855
0.87261444	0.045321201	282.25809	0.022594254	0.010902883	0.025087312	-25.759684
0.87267226	0.045315922	251.36742	0.02122966	0.012885698	0.024834244	-31.256359
0.87263381	0.045322697	224.21082	0.024447285	0.014288986	0.028316865	-30.305498
0.87266934	0.045316803	199.80815	0.051118311	-0.045677572	0.06855306	41.782883
0.87267238	0.045316971	178.00633	0.016194332	0.016933255	0.023430567	-46.27779
0.87266117	0.045318645	158.62947	0.025388388	0.01608423	0.030054495	-32.355362
0.87266827	0.045320995	141.31134	0.024648456	0.018173758	0.030624039	-36.402031
0.87265772	0.045324688	126.00809	0.023960015	0.020811565	0.031736471	-40.97744
0.87266505	0.045324986	112.33657	0.024831709	0.020367313	0.032116059	-39.359081
0.87263471	0.045323925	100.03201	0.02677186	0.0267346	0.03783479	-44.960102
0.87266111	0.04532003	89.229065	0.02724307	0.023595458	0.036040679	-40.896118
0.87264174	0.04531818	79.516533	0.027841246	0.02864451	0.039945498	-45.814728
0.87263286	0.045319241	70.838745	0.031617519	0.030448327	0.043894965	-43.920795
0.87264568	0.045324448	63.160755	0.029630451	0.036362208	0.046906009	-50.824463
0.87260723	0.04532439	56.241817	0.029941263	0.041879307	0.051481605	-54.437443
0.8726216	0.045320606	50.144413	0.029285483	0.042000376	0.051202256	-55.113201
0.87261367	0.045320961	44.728058	0.033289179	0.045002889	0.055977043	-53.50922
0.87261158	0.045315903	39.859692	0.033235557	0.050596442	0.06053596	-56.700073
0.87264752	0.04532333	35.511364	0.036081649	0.055955302	0.066579886	-57.184868
0.87261194	0.045328735	31.629551	0.036075715	0.059891384	0.069917344	-58.937244
0.8726362	0.045318237	28.203972	0.040626734	0.067043595	0.078392446	-58.785191
0.87262499	0.045323032	25.136742	0.042468943	0.07814189	0.088936865	-61.476585
0.87264723	0.045328735	22.385387	0.047133878	0.082417212	0.094943136	-60.235035
0.87262738	0.045325378	19.955299	0.04817773	0.093701988	0.10536203	-62.789627
0.87261558	0.04532621	17.796129	0.053052105	0.099679224	0.112918	-61.97683
0.87264609	0.045321163	15.857576	0.058550633	0.11253069	0.12685162	-62.511673
0.8726083	0.045317326	14.13601	0.066341035	0.12397577	0.14060983	-61.84819
0.87264234	0.045321003	12.600808	0.070625223	0.13509664	0.15244351	-62.400532
0.87261504	0.04532637	11.224856	0.079745546	0.14557847	0.16598929	-61.286781
0.87261939	0.045326889	10.003201	0.088301338	0.15877132	0.18167405	-60.919193
0.87261856	0.045324184	8.9183798	0.10247663	0.17309962	0.20115899	-59.374062
0.87260163	0.045317249	7.9395342	0.11857803	0.19050278	0.22439264	-58.099892
0.8726483	0.045315475	7.0765405	0.13583726	0.20482294	0.24577266	-56.447918
0.87261844	0.04531406	6.3105822	0.14874031	0.21083844	0.25802428	-54.798157
0.87263721	0.045306656	5.6286025	0.1733717	0.22848956	0.28681916	-52.809757
0.8726325	0.045321667	5.0144415	0.1911182	0.23979704	0.30664113	-51.44516
0.87263399	0.045324986	4.4693937	0.2119922	0.2563065	0.33261648	-50.405704
0.87264758	0.045322556	3.9859693	0.23810512	0.26147041	0.35363939	-47.677788
0.87266797	0.04532243	3.5511365	0.26859841	0.26756731	0.37912712	-44.889812
0.87269515	0.04531707	3.1655185	0.30195314	0.2776064	0.41017193	-42.594471
0.87269998	0.045325016	2.8183618	0.33146557	0.28073591	0.43437549	-40.263046
0.87273431	0.045320934	2.513674	0.35859376	0.27827349	0.45390046	-37.811935
0.87274045	0.045324848	2.2398219	0.39389366	0.28303	0.48503423	-35.698917
0.87275028	0.045322086	1.9970604	0.42387483	0.27941686	0.50768459	-33.392738
0.87274647	0.045321152	1.7796129	0.44386852	0.26259801	0.51572955	-30.609076
0.87276053	0.045322166	1.5846854	0.4757221	0.25415111	0.53935546	-28.113041
0.87280095	0.045321465	1.4122382	0.49228111	0.23683584	0.54628921	-25.69215
0.87285459	0.045322865	1.2596743	0.52467775	0.23087962	0.57322955	-23.751453
0.87286252	0.045323891	1.1224856	0.53926289	0.21881197	0.58196491	-22.085407
0.87290049	0.045320602	1.0000638	0.56597269	0.19258055	0.59783971	-18.79163
